,IDF
lengkap,2.7508701982851385
kampus,1.0956227498197437
banget,1.2929821839782387
fasilitas,2.6330871626287546
keren,2.735366011749173
pusing,3.125563647726549
duh,3.0596056799347515
numpuk,3.172083663361442
tugas,0.818443399567112
kuliah,2.3045830956567186
seru,1.9824995964876055
kerja,2.958509563063383
minggu,2.1057322369115536
dosen,1.4630159099785
cari,4.712528704308591
nilai,3.865230843921387
sulit,4.9638431325894965
mahasiswa,3.6908774567766094
asih,5.523458920524919
kalo,3.865230843921387
kanan,2.3045830956567186
ajar,3.7742590657156603
gue,3.865230843921387
santai,5.523458920524919
pdb,6.2166061010848646
biar,4.511858008846439
gin,4.607168188650764
sayang,4.830311739964974
bagus,4.511858008846439
bisnis,4.712528704308591
anjyr,6.2166061010848646
ekopembangunan,6.2166061010848646
dengar,5.3003153692107094
nomor,4.2017030805426
banding,5.811140992976701
kemarin,5.117993812416755
pasar,6.2166061010848646
internasional,5.523458920524919
pariwisata,6.2166061010848646
teman,3.577548771469606
bahas,5.117993812416755
muak,6.2166061010848646
tau,6.2166061010848646
ekonomi,5.3003153692107094
batu,4.42484663185681
sawahlunto,6.2166061010848646
psdku,6.2166061010848646
sepi,2.2369244471829037
anjing,5.117993812416755
ayam,4.344803924183274
buka,4.2017030805426
alam,4.607168188650764
organisasi,4.712528704308591
bicara,4.511858008846439
uang,5.3003153692107094
usaha,5.523458920524919
rekrut,6.2166061010848646
larang,5.811140992976701
giat,5.523458920524919
islam,3.914021008090819
promosi,5.811140992976701
pakai,4.607168188650764
universitas,3.2988353690005856
katolik,5.811140992976701
orang,3.4757660771596637
hehe,5.3003153692107094
lembut,5.811140992976701
mulut,5.523458920524919
jual,5.3003153692107094
penuh,4.830311739964974
makan,4.270695952029551
viscoff,6.2166061010848646
belanja,5.523458920524919
kejut,5.811140992976701
hai,4.830311739964974
gas,6.2166061010848646
cemberut,6.2166061010848646
kasih,3.5085558999826545
terima,3.2721671219184243
sabar,3.6908774567766094
ngejelasin,3.8187108282864943
materi,3.7742590657156603
lambat,5.117993812416755
kirim,4.270695952029551
oke,5.811140992976701
suka,5.117993812416755
bantu,2.7508701982851385
super,3.0385522707369192
kelas,2.5277266469709283
enam,6.2166061010848646
tuan,5.811140992976701
selesai,4.2017030805426
kaki,5.117993812416755
pergi,4.019381523748645
untung,4.9638431325894965
milik,3.2988353690005856
ku,4.076539937588594
sih,3.914021008090819
ruang,5.3003153692107094
upaya,5.811140992976701
mhn,6.2166061010848646
aman,4.511858008846439
diskriminasi,6.2166061010848646
kelar,2.8844015909096608
sembuh,2.8322158377390907
yang,6.2166061010848646
telepon,5.523458920524919
hormat,6.2166061010848646
lampau,6.2166061010848646
tumbuh,5.811140992976701
gila,4.830311739964974
perilaku,5.811140992976701
kontol,5.117993812416755
enak,4.830311739964974
diajakin,6.2166061010848646
tesis,6.2166061010848646
terharuu,6.2166061010848646
omong,4.42484663185681
ah,3.3262343431887
subhanallah,6.2166061010848646
leyeh2,6.2166061010848646
suruh,5.523458920524919
ngobrolin,6.2166061010848646
dosenny,6.2166061010848646
malaikat,6.2166061010848646
turun,4.9638431325894965
perawan,6.2166061010848646
rekam,5.523458920524919
ngentot,5.523458920524919
lantai,6.2166061010848646
rusak,5.117993812416755
mahasiswi,5.523458920524919
bokep,5.811140992976701
video,5.523458920524919
unduh,6.2166061010848646
padat,5.523458920524919
ya,3.3544052201553964
tok,5.3003153692107094
biodata,6.2166061010848646
intinyaa,6.2166061010848646
bosan,5.3003153692107094
sore,5.811140992976701
jam,4.712528704308591
pablo,5.811140992976701
5,4.344803924183274
juli,5.3003153692107094
polteka,6.2166061010848646
2,3.914021008090819
mangunwijaya,6.2166061010848646
15,6.2166061010848646
lowong,6.2166061010848646
tenggat,3.577548771469606
farmasi,5.811140992976701
isi,5.3003153692107094
hadir,5.523458920524919
wanita,5.3003153692107094
rohani,6.2166061010848646
ayo,5.811140992976701
man,6.2166061010848646
muslim,5.523458920524919
cinta,3.865230843921387
ribet,3.9653143024783697
kali,3.7742590657156603
periode,5.523458920524919
narkoba,6.2166061010848646
cina,5.523458920524919
energi,6.2166061010848646
ganti,5.117993812416755
presiden,4.830311739964974
asing,5.523458920524919
kurikulum,6.2166061010848646
utang,4.607168188650764
salam,5.523458920524919
kiri,6.2166061010848646
ii,6.2166061010848646
bts,6.2166061010848646
tangan,4.344803924183274
xd,6.2166061010848646
dvd,6.2166061010848646
biografi,6.2166061010848646
jepang,5.3003153692107094
cek,5.811140992976701
lihat,3.8187108282864943
vidio,6.2166061010848646
pamer,6.2166061010848646
mulus,5.523458920524919
bugil,5.811140992976701
merah,5.811140992976701
cantik,5.3003153692107094
memek,6.2166061010848646
putih,5.523458920524919
zolim,5.811140992976701
dang,5.811140992976701
asli,4.830311739964974
inputnya,5.811140992976701
bgitulah,4.830311739964974
zaman,5.811140992976701
uts,5.117993812416755
90an,5.811140992976701
degdegan,5.117993812416755
bunuh,4.9638431325894965
masuk,3.865230843921387
siang,5.811140992976701
alergi,6.2166061010848646
kompetisi,5.811140992976701
bareng,5.811140992976701
jojo,5.811140992976701
layan,4.9638431325894965
main,3.865230843921387
kuat,3.9653143024783697
rss,6.2166061010848646
muncul,5.811140992976701
alas,4.270695952029551
siswa,4.830311739964974
jatuh,4.344803924183274
jerawat,6.2166061010848646
ampun,3.6908774567766094
ngerjain,3.6516567436233283
bentar,3.7316994512968646
tuhan,5.3003153692107094
hubung,6.2166061010848646
studi,5.523458920524919
a,3.7742590657156603
kanada,5.811140992976701
televisi,6.2166061010848646
jenis,5.523458920524919
kawan,5.3003153692107094
guru,4.511858008846439
gigi,5.811140992976701
hajar,6.2166061010848646
motivasi,5.811140992976701
halaman,5.117993812416755
terjemah,6.2166061010848646
keluh,5.3003153692107094
semangat,5.811140992976701
habis,5.117993812416755
12,5.811140992976701
paham,3.4132457201783297
kelompok,4.076539937588594
bahasa,3.2721671219184243
lantan,5.811140992976701
covid,4.9638431325894965
19,4.9638431325894965
atur,5.523458920524919
langsung,4.344803924183274
situasi,4.511858008846439
tanggung,5.117993812416755
memberitahukan,6.2166061010848646
kendali,6.2166061010848646
gombak,5.3003153692107094
inggris,3.542457451658336
gaji,5.523458920524919
rupiah,5.3003153692107094
pikir,4.019381523748645
moga,4.607168188650764
timpang,6.2166061010848646
hasil,4.830311739964974
juta,5.811140992976701
rencana,6.2166061010848646
panggung,6.2166061010848646
2021,4.9638431325894965
peringkat,5.811140992976701
lembaga,4.607168188650764
indonesia,4.137164559405029
gambar,5.523458920524919
rilis,5.811140992976701
geprek,6.2166061010848646
selatan,5.811140992976701
citra,6.2166061010848646
hilang,4.9638431325894965
akreditasi,6.2166061010848646
dulunya,6.2166061010848646
rapi,6.2166061010848646
tunggu,4.830311739964974
kenya,6.2166061010848646
pilih,4.607168188650764
gunung,5.811140992976701
pimpin,5.117993812416755
tarung,6.2166061010848646
jalan,4.2017030805426
lapor,4.712528704308591
goreng,5.811140992976701
bambang,6.2166061010848646
tingkat,6.2166061010848646
ditanyain,6.2166061010848646
jadi,5.811140992976701
bungkus,6.2166061010848646
evaluasi,5.811140992976701
emosi,6.2166061010848646
percaya,4.9638431325894965
syukur,4.830311739964974
hukum,4.712528704308591
kenal,5.3003153692107094
pulang,5.3003153692107094
lumpur,5.811140992976701
tiru,5.811140992976701
roji,6.2166061010848646
salju,6.2166061010848646
salah,3.865230843921387
kritik,4.9638431325894965
smt,5.117993812416755
tbtb,5.811140992976701
kangen,6.2166061010848646
siluman,6.2166061010848646
kucing,4.42484663185681
malu,5.523458920524919
tolong,4.607168188650764
abdulrahman,5.3003153692107094
oposisi,5.117993812416755
gerak,4.712528704308591
buta,5.3003153692107094
abdulrazaq,5.3003153692107094
wajib,5.3003153692107094
kritikus,5.3003153692107094
sibuk,4.607168188650764
03,5.523458920524919
putra,4.607168188650764
luas,5.811140992976701
kolaborasi,6.2166061010848646
tanggal,4.511858008846439
ppv,5.811140992976701
kapten,6.2166061010848646
untuk2,6.2166061010848646
vaksin,5.811140992976701
tahap,6.2166061010848646
spesial,5.523458920524919
gorontalo,6.2166061010848646
peduli,5.3003153692107094
palu,6.2166061010848646
posko,6.2166061010848646
who,5.117993812416755
tinggal,4.2017030805426
utuh,6.2166061010848646
antar,6.2166061010848646
cowok,6.2166061010848646
jujur,5.523458920524919
warung,5.3003153692107094
duduk,5.117993812416755
cakrawala,6.2166061010848646
bangkang,6.2166061010848646
daftar,5.117993812416755
salah2,6.2166061010848646
aktif,5.3003153692107094
rusia,6.2166061010848646
sambung,6.2166061010848646
ntar2,6.2166061010848646
unggah,6.2166061010848646
rajin,6.2166061010848646
diskusi,5.3003153692107094
ken,5.117993812416755
20,5.523458920524919
induk,5.811140992976701
berkah,5.523458920524919
3porsi,5.811140992976701
jumat,5.3003153692107094
kriteria,5.811140992976701
1,4.270695952029551
lajang,5.811140992976701
besok,5.3003153692107094
bagibagi,5.811140992976701
dimsum,5.811140992976701
hahahha,6.2166061010848646
aduh,6.2166061010848646
kontroversi,6.2166061010848646
film,5.523458920524919
bulat,6.2166061010848646
ha,5.117993812416755
netflix,6.2166061010848646
undang,5.523458920524919
sungguh,4.270695952029551
nyuruh,4.137164559405029
pipa,4.344803924183274
berani,3.865230843921387
bukti,5.811140992976701
jamban,5.811140992976701
rakyat,4.712528704308591
cerca,6.2166061010848646
tuh,4.9638431325894965
komite,5.3003153692107094
sekian,5.523458920524919
melati,5.811140992976701
menteri,5.523458920524919
puncak,5.811140992976701
lari,5.3003153692107094
wakil,4.830311739964974
perdana,6.2166061010848646
miskin,5.811140992976701
raja,6.2166061010848646
hidup,5.117993812416755
parah,5.811140992976701
ganggu,5.3003153692107094
teror,6.2166061010848646
simpan,5.811140992976701
tawar,5.811140992976701
fh,6.2166061010848646
gar,6.2166061010848646
aktivis,6.2166061010848646
penggrebekan,6.2166061010848646
tegang,6.2166061010848646
teroris,5.811140992976701
kapolri,6.2166061010848646
negara,3.914021008090819
laku,4.712528704308591
ipg,4.9638431325894965
sabah,5.117993812416755
tulang,5.811140992976701
asrama,5.523458920524919
tertawa,5.3003153692107094
bilang,5.3003153692107094
taman,5.3003153692107094
puasa,6.2166061010848646
bukber,6.2166061010848646
diam,4.9638431325894965
rumah,4.2017030805426
kluyuran,6.2166061010848646
seminar,6.2166061010848646
ben,6.2166061010848646
temu,4.42484663185681
injak,5.811140992976701
mineralogi,6.2166061010848646
lapang,5.523458920524919
laboratorium,5.117993812416755
deh,5.811140992976701
tutup,4.712528704308591
sekolah,4.511858008846439
tamu,6.2166061010848646
h,5.523458920524919
6tugas,6.2166061010848646
resimen,6.2166061010848646
setapak,6.2166061010848646
kelelawar,6.2166061010848646
susun,5.811140992976701
sinting,5.811140992976701
lengan,5.811140992976701
kemeja,5.811140992976701
karang,4.830311739964974
kontak,6.2166061010848646
nadia,6.2166061010848646
sksksk,6.2166061010848646
putri,6.2166061010848646
apedehal,6.2166061010848646
b,4.712528704308591
bebas,4.9638431325894965
pajak,6.2166061010848646
bodoh,4.607168188650764
sahabat,5.523458920524919
nya,5.811140992976701
harga,4.830311739964974
pita,5.811140992976701
xxxd,6.2166061010848646
ribu,5.523458920524919
menit,5.117993812416755
kacang,6.2166061010848646
sayur,5.811140992976701
lumayan,5.523458920524919
beli,4.830311739964974
lindung,5.811140992976701
tumis,6.2166061010848646
dadar,6.2166061010848646
telur,6.2166061010848646
ongkos,6.2166061010848646
survei,5.3003153692107094
aneh,5.811140992976701
bandung,5.811140992976701
cebong,6.2166061010848646
dukung,5.3003153692107094
bawa,5.3003153692107094
kayak,4.270695952029551
teknologi,5.3003153692107094
luhut,6.2166061010848646
perahu,4.830311739964974
reklamasi,6.2166061010848646
anak,3.7742590657156603
murid,4.019381523748645
selangor,5.811140992976701
lahir,5.3003153692107094
perhati,5.811140992976701
jamin,6.2166061010848646
tambun,6.2166061010848646
amerika,5.811140992976701
masyarakat,5.3003153692107094
adikuasa,6.2166061010848646
paksa,5.3003153692107094
t,4.344803924183274
dagang,6.2166061010848646
mimpi,5.523458920524919
sempurna,5.3003153692107094
kuasa,5.811140992976701
kena,5.3003153692107094
politik,4.9638431325894965
pandang,6.2166061010848646
dasar,4.9638431325894965
ular,6.2166061010848646
keras,5.811140992976701
pribadi,4.830311739964974
sederhana,6.2166061010848646
pesan,5.523458920524919
dunia,5.117993812416755
kait,5.3003153692107094
populasi,6.2166061010848646
waspada,5.811140992976701
orientasi,5.811140992976701
indak,6.2166061010848646
utama,5.3003153692107094
batang,5.811140992976701
arti,5.523458920524919
garis,5.3003153692107094
jernih,6.2166061010848646
periksa,6.2166061010848646
kerdil,6.2166061010848646
pasal,5.3003153692107094
cerita,5.523458920524919
tekan,5.117993812416755
allah,5.523458920524919
mudah,5.811140992976701
pohon,5.117993812416755
cemara,5.3003153692107094
sosial,5.523458920524919
lulus,4.712528704308591
mikrofon,6.2166061010848646
forum,5.811140992976701
media,5.3003153692107094
mati,5.523458920524919
ancam,6.2166061010848646
dihadang,6.2166061010848646
aparat,6.2166061010848646
4,4.830311739964974
3,4.830311739964974
kambing,5.811140992976701
nyebrang,6.2166061010848646
eh,4.2017030805426
takut,4.344803924183274
histeris,6.2166061010848646
tabrak,6.2166061010848646
angka,5.523458920524919
nyerbu,6.2166061010848646
badai,6.2166061010848646
0,5.811140992976701
komputer,6.2166061010848646
lu,5.811140992976701
50,5.811140992976701
kls,6.2166061010848646
butuh,4.42484663185681
twitter,5.811140992976701
kagum,5.811140992976701
mari,5.811140992976701
program,5.523458920524919
makro,6.2166061010848646
membedain,6.2166061010848646
jokowi,6.2166061010848646
digital,6.2166061010848646
jokowidosen,6.2166061010848646
calon,6.2166061010848646
ymhnggx8nndalam,6.2166061010848646
capres,6.2166061010848646
mikro,6.2166061010848646
kalifornia,6.2166061010848646
salib,6.2166061010848646
drama,6.2166061010848646
korea,5.811140992976701
coklat,6.2166061010848646
premi,5.811140992976701
ikan,4.9638431325894965
banjir,6.2166061010848646
keping,6.2166061010848646
tokopedia,6.2166061010848646
kod,5.811140992976701
coba,4.9638431325894965
benda,4.712528704308591
biskuit,6.2166061010848646
rm3,6.2166061010848646
manis,6.2166061010848646
daerah,5.3003153692107094
kering,6.2166061010848646
teratai,6.2166061010848646
garing,6.2166061010848646
leleh,6.2166061010848646
kue,5.811140992976701
dijodohin,6.2166061010848646
galak,5.811140992976701
markhyuck,6.2166061010848646
45,5.811140992976701
pendek,6.2166061010848646
isap,6.2166061010848646
kedip,6.2166061010848646
staf,5.811140992976701
keluarga,5.523458920524919
gaul,6.2166061010848646
kanak,6.2166061010848646
anggota2,6.2166061010848646
laksana,5.811140992976701
kabel,5.811140992976701
ajaib,6.2166061010848646
anggar,5.3003153692107094
mes,5.523458920524919
jerat,6.2166061010848646
cerdas,6.2166061010848646
boros,5.811140992976701
s2,6.2166061010848646
kejar,5.523458920524919
tetangga,6.2166061010848646
tambak,5.811140992976701
rumput,5.811140992976701
belah,5.811140992976701
gairah,6.2166061010848646
raya,5.811140992976701
mobil,5.811140992976701
ekspor,6.2166061010848646
laut,6.2166061010848646
biologi,5.811140992976701
kuala,5.3003153692107094
zainal,5.811140992976701
memperkenalka,6.2166061010848646
binti,6.2166061010848646
sortir,5.523458920524919
buruk,5.523458920524919
nurhamimah,6.2166061010848646
dokter,5.117993812416755
semester,4.712528704308591
nelson,6.2166061010848646
pinang,5.523458920524919
pulau,5.3003153692107094
lingkar,5.811140992976701
amin,5.3003153692107094
baca,5.117993812416755
hantu,5.811140992976701
yasin,6.2166061010848646
pahang,5.523458920524919
laki,5.117993812416755
air,5.811140992976701
madah,6.2166061010848646
makhluk,6.2166061010848646
sorg2,6.2166061010848646
batas,5.811140992976701
tiber,6.2166061010848646
kluster,5.811140992976701
izin,5.811140992976701
gendeng,6.2166061010848646
gelar,6.2166061010848646
lucu,5.811140992976701
palsu,6.2166061010848646
bongkar,6.2166061010848646
keburu,6.2166061010848646
ilmu,5.117993812416755
ijin,5.811140992976701
harusnyakan,5.523458920524919
alumni,4.9638431325894965
praktek,5.523458920524919
otoritas,5.523458920524919
langgan,5.3003153692107094
hibur,5.811140992976701
utus,5.811140992976701
mega,5.811140992976701
april,5.811140992976701
alquran,5.811140992976701
sehat,4.830311739964974
tentara,5.523458920524919
budaya,4.9638431325894965
sains,4.9638431325894965
wira,5.811140992976701
polisi,5.117993812416755
malaysia,5.117993812416755
artis,5.523458920524919
uji,4.42484663185681
jadwal,5.3003153692107094
tua,5.117993812416755
mei,5.523458920524919
singgung,5.3003153692107094
protes,5.523458920524919
bora,6.2166061010848646
teori,6.2166061010848646
gelisah,6.2166061010848646
koneksi,6.2166061010848646
variabel,5.811140992976701
skripsi,4.9638431325894965
hak,6.2166061010848646
gagal,6.2166061010848646
bahan,5.811140992976701
jiwa,5.811140992976701
sedih,5.117993812416755
cepat,4.830311739964974
tindak,6.2166061010848646
juang,4.712528704308591
tunda,6.2166061010848646
serah,4.9638431325894965
tanda,5.811140992976701
tanggap,6.2166061010848646
hotel,5.523458920524919
bab,5.523458920524919
doang,4.830311739964974
teliti,4.9638431325894965
informanya,5.523458920524919
plus,5.3003153692107094
data,5.3003153692107094
jogja,5.811140992976701
revisi,4.830311739964974
nanyain,5.811140992976701
hubungin,5.523458920524919
siku,4.9638431325894965
mode,4.712528704308591
erti,4.607168188650764
jakarta,5.811140992976701
legenda,6.2166061010848646
rem,6.2166061010848646
peprus,6.2166061010848646
kakak,5.3003153692107094
cetak,5.811140992976701
pos,5.811140992976701
hitam,5.811140992976701
lain2,6.2166061010848646
pdpr,6.2166061010848646
a4,6.2166061010848646
ukur,5.523458920524919
kertas,4.712528704308591
fotostat,6.2166061010848646
surat,5.523458920524919
syah,5.811140992976701
kwh,6.2166061010848646
jilid,6.2166061010848646
gua,5.3003153692107094
11,5.3003153692107094
tempo,4.607168188650764
tas,6.2166061010848646
pekan,4.830311739964974
favorit,6.2166061010848646
melaka,5.811140992976701
asosiasi,6.2166061010848646
28,5.523458920524919
bangun,4.607168188650764
alamat,5.811140992976701
77300,6.2166061010848646
nipis,6.2166061010848646
jeruk,6.2166061010848646
diploma,5.811140992976701
kelola,5.523458920524919
345,5.811140992976701
ab107,6.2166061010848646
sumber,5.811140992976701
r,5.523458920524919
mqa,5.811140992976701
pahat,5.523458920524919
manusia,5.523458920524919
0042,5.811140992976701
2025,5.811140992976701
hangat,6.2166061010848646
minum,6.2166061010848646
udara,6.2166061010848646
gojek,6.2166061010848646
tilang,6.2166061010848646
berangkat,6.2166061010848646
selai,5.3003153692107094
2jam,6.2166061010848646
bus,6.2166061010848646
burung,5.3003153692107094
panas2,6.2166061010848646
terik,6.2166061010848646
macet,6.2166061010848646
jalur,5.523458920524919
sen,6.2166061010848646
3kali,6.2166061010848646
10,5.523458920524919
macan,6.2166061010848646
tj,6.2166061010848646
pegang,6.2166061010848646
44,5.811140992976701
dasco,5.811140992976701
asn,5.811140992976701
sufmi,5.811140992976701
atk,5.811140992976701
dahliah,6.2166061010848646
peristiwa,5.811140992976701
rw,6.2166061010848646
ngechat,5.811140992976701
hadap,5.3003153692107094
seranta,6.2166061010848646
pocong,6.2166061010848646
peluk,6.2166061010848646
taktik,5.811140992976701
haiasoh,5.3003153692107094
tembak,5.3003153692107094
saudari,4.830311739964974
aksi,6.2166061010848646
tuntut,5.811140992976701
soeharto,6.2166061010848646
kalah,5.523458920524919
kristen,5.811140992976701
csis,6.2166061010848646
demonstrasi,6.2166061010848646
uki,6.2166061010848646
atma,6.2166061010848646
gencar,6.2166061010848646
lawan,5.523458920524919
trisakti,6.2166061010848646
tarumanegara,6.2166061010848646
henti,5.3003153692107094
jaya,6.2166061010848646
afiliasi,6.2166061010848646
elite,6.2166061010848646
hektar,5.523458920524919
ponpes,5.811140992976701
madrasah,5.523458920524919
alazhar,6.2166061010848646
triliun,5.523458920524919
proyek,5.523458920524919
142,5.811140992976701
ummat,5.811140992976701
referensi,5.811140992976701
masjid,5.523458920524919
berita,5.811140992976701
ragu,5.523458920524919
dpr,6.2166061010848646
zona,6.2166061010848646
dprd,6.2166061010848646
komentar,5.811140992976701
bom,6.2166061010848646
gedung,6.2166061010848646
lgsng,6.2166061010848646
pengin,6.2166061010848646
target,6.2166061010848646
unri,6.2166061010848646
duga,6.2166061010848646
fadli,6.2166061010848646
rina,6.2166061010848646
putus,5.3003153692107094
tidur,4.9638431325894965
toklh,6.2166061010848646
daki,6.2166061010848646
kepala,4.9638431325894965
agama,5.117993812416755
toleransi,6.2166061010848646
saran,6.2166061010848646
suci,5.811140992976701
kitab,5.811140992976701
bayang,5.3003153692107094
matkul,5.523458920524919
kera,5.523458920524919
doa,5.811140992976701
cerocos,5.811140992976701
nih,4.712528704308591
mulu,5.3003153692107094
panggil,5.811140992976701
wkwkwk,6.2166061010848646
kuning,6.2166061010848646
gede,5.523458920524919
berang,6.2166061010848646
realisasi,5.811140992976701
anies,5.523458920524919
korupsi,5.811140992976701
bajing,5.523458920524919
janji,5.811140992976701
tampil,6.2166061010848646
catat,5.117993812416755
line,5.117993812416755
gatal,5.811140992976701
on,5.117993812416755
boro,5.811140992976701
tes,5.117993812416755
25,5.811140992976701
nama,5.3003153692107094
sesuai,5.3003153692107094
langit,5.811140992976701
nang,6.2166061010848646
konsep,6.2166061010848646
terakhir2,6.2166061010848646
cuek,6.2166061010848646
individu,5.811140992976701
jantan,5.811140992976701
mata,5.811140992976701
balap,6.2166061010848646
rangin,6.2166061010848646
celah,6.2166061010848646
yaudah,6.2166061010848646
sisi,5.811140992976701
lelah,5.523458920524919
mashaallah,6.2166061010848646
malam,4.511858008846439
gapapa,6.2166061010848646
balas,5.117993812416755
dikabarin,6.2166061010848646
telat,5.811140992976701
rezeki,6.2166061010848646
transfer,6.2166061010848646
ellemen,6.2166061010848646
bimbing,5.811140992976701
tunas,6.2166061010848646
sibuksibuknya,6.2166061010848646
tawau,5.811140992976701
riset,5.811140992976701
pidato,6.2166061010848646
awat,6.2166061010848646
tinjau,5.523458920524919
logo,6.2166061010848646
posisi,6.2166061010848646
klien,5.811140992976701
komisi,6.2166061010848646
